"Site Crawled","http://spilou.com/"
"Start Date","2026-04-12"
"Start Time","21:44:37"
"Last Modified Date","2026-04-12"
"Last Modified Time","21:44:52"
"Elapsed","00:00:15"
"Report Date","2026-04-12"
"Report Time","21:44:52"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","266","100.00%","266","URLs Encountered"
"Total URLs Crawled","228","85.71%","266","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","266","URLs Encountered"
"Total External blocked by robots.txt","38","14.29%","266","URLs Encountered"
""
"URLs Displayed","266","100.00%","266","URLs Displayed"
"Total Internal URLs","130","48.87%","266","URLs Displayed"
"Total External URLs","136","51.13%","266","URLs Displayed"
"Total Internal Indexable URLs","86","32.33%","266","URLs Displayed"
"Total Internal Non-Indexable URLs","44","16.54%","266","URLs Displayed"
""
"Internal"
"All","130","100.00%","130","Internal URLs"
"HTML","87","66.92%","130","Internal URLs"
"JavaScript","1","0.77%","130","Internal URLs"
"CSS","3","2.31%","130","Internal URLs"
"Images","38","29.23%","130","Internal URLs"
"Media","0","0.00%","130","Internal URLs"
"Fonts","0","0.00%","130","Internal URLs"
"XML","0","0.00%","130","Internal URLs"
"PDF","0","0.00%","130","Internal URLs"
"Plugins","0","0.00%","130","Internal URLs"
"Other","1","0.77%","130","Internal URLs"
"Unknown","0","0.00%","130","Internal URLs"
""
"External"
"All","136","100.00%","136","External URLs"
"HTML","55","40.44%","136","External URLs"
"JavaScript","0","0.00%","136","External URLs"
"CSS","0","0.00%","136","External URLs"
"Images","0","0.00%","136","External URLs"
"Media","0","0.00%","136","External URLs"
"Fonts","0","0.00%","136","External URLs"
"XML","0","0.00%","136","External URLs"
"PDF","0","0.00%","136","External URLs"
"Plugins","0","0.00%","136","External URLs"
"Other","43","31.62%","136","External URLs"
"Unknown","38","27.94%","136","External URLs"
""
"Security"
"All","130","100.00%","130","All internal and non-HTML external URLs"
"HTTP URLs","1","0.77%","130","All internal and non-HTML external URLs"
"HTTPS URLs","129","99.23%","130","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","130","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","130","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","130","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","0","0.00%","130","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0.00%","130","All internal and non-HTML external URLs"
"Missing HSTS Header","0","0.00%","130","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","86","66.15%","130","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","86","66.15%","130","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","86","66.15%","130","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","86","66.15%","130","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","130","All internal and non-HTML external URLs"
""
"Response Codes"
"All","266","100.00%","266","All Internal & External Crawled URLs"
"Blocked by Robots.txt","38","14.29%","266","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","266","All Internal & External Crawled URLs"
"No Response","0","0.00%","266","All Internal & External Crawled URLs"
"Success (2xx)","98","36.84%","266","All Internal & External Crawled URLs"
"Redirection (3xx)","127","47.74%","266","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","266","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","266","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","266","All Internal & External Crawled URLs"
"Client Error (4xx)","3","1.13%","266","All Internal & External Crawled URLs"
"Server Error (5xx)","0","0.00%","266","All Internal & External Crawled URLs"
"Internal All","130","48.87%","266","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","0","0.00%","266","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","266","All Internal Crawled URLs"
"Internal No Response","0","0.00%","266","All Internal Crawled URLs"
"Internal Success (2xx)","86","32.33%","266","All Internal Crawled URLs"
"Internal Redirection (3xx)","44","16.54%","266","All Internal Crawled URLs"
"Internal Redirection (JavaScript)","0","0.00%","266","All Internal Crawled URLs"
"Internal Redirection (Meta Refresh)","0","0.00%","266","All Internal Crawled URLs"
"Internal Redirection (HTTP Refresh)","0","0.00%","266","All Internal Crawled URLs"
"Internal Redirect Chain","0","0.00%","266","All Internal Crawled URLs"
"Internal Redirect Loop","0","0.00%","266","All Internal Crawled URLs"
"Internal Client Error (4xx)","0","0.00%","266","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0.00%","266","All Internal Crawled URLs"
"External All","136","51.13%","266","All External Crawled URLs"
"External Blocked by Robots.txt","38","14.29%","266","All External Crawled URLs"
"External Blocked Resource","0","0.00%","266","All External Crawled URLs"
"External No Response","0","0.00%","266","All External Crawled URLs"
"External Success (2xx)","12","4.51%","266","All External Crawled URLs"
"External Redirection (3xx)","83","31.20%","266","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","266","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","266","All External Crawled URLs"
"External Redirection (HTTP Refresh)","0","0.00%","266","All External Crawled URLs"
"External Client Error (4xx)","3","1.13%","266","All External Crawled URLs"
"External Server Error (5xx)","0","0.00%","266","All External Crawled URLs"
""
"URL"
"All","130","100.00%","130","Internal URLs"
"Non ASCII Characters","0","0.00%","130","Internal URLs"
"Underscores","0","0.00%","130","Internal URLs"
"Uppercase","0","0.00%","130","Internal URLs"
"Multiple Slashes","0","0.00%","130","Internal URLs"
"Repetitive Path","0","0.00%","130","Internal URLs"
"Contains Space","0","0.00%","130","Internal URLs"
"Internal Search","0","0.00%","130","Internal URLs"
"Parameters","0","0.00%","130","Internal URLs"
"Broken Bookmark","0","0.00%","130","Internal URLs"
"GA Tracking Parameters","0","0.00%","130","Internal URLs"
"Over 115 Characters","0","0.00%","130","Internal URLs"
""
"Page Titles"
"All","44","100.00%","44","Internal HTML pages with 2xx response"
"Missing","0","0.00%","44","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","44","Internal HTML pages with 2xx response"
"Over 60 Characters","3","6.82%","44","Internal HTML pages with 2xx response"
"Below 30 Characters","6","13.64%","44","Internal HTML pages with 2xx response"
"Over 561 Pixels","3","6.82%","44","Internal HTML pages with 2xx response"
"Below 200 Pixels","1","2.27%","44","Internal HTML pages with 2xx response"
"Same as H1","37","84.09%","44","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","44","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","44","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","44","100.00%","44","Internal HTML pages with 2xx response"
"Missing","0","0.00%","44","Internal HTML pages with 2xx response"
"Duplicate","2","4.55%","44","Internal HTML pages with 2xx response"
"Over 155 Characters","33","75.00%","44","Internal HTML pages with 2xx response"
"Below 70 Characters","0","0.00%","44","Internal HTML pages with 2xx response"
"Over 985 Pixels","28","63.64%","44","Internal HTML pages with 2xx response"
"Below 400 Pixels","0","0.00%","44","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","44","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","44","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","44","100.00%","44","Internal HTML pages with 2xx response"
"Missing","44","100.00%","44","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","44","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","44","Internal HTML pages with 2xx response"
""
"H1"
"All","44","100.00%","44","Internal HTML pages with 2xx response"
"Missing","0","0.00%","44","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","44","Internal HTML pages with 2xx response"
"Over 70 Characters","0","0.00%","44","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","44","Internal HTML pages with 2xx response"
"Alt Text in H1","0","0.00%","44","Internal HTML pages with 2xx response"
"Non-Sequential","0","0.00%","44","Internal HTML pages with 2xx response"
""
"H2"
"All","44","100.00%","44","Internal HTML pages with 2xx response"
"Missing","3","6.82%","44","Internal HTML pages with 2xx response"
"Duplicate","2","4.55%","44","Internal HTML pages with 2xx response"
"Over 70 Characters","5","11.36%","44","Internal HTML pages with 2xx response"
"Multiple","41","93.18%","44","Internal HTML pages with 2xx response"
"Non-Sequential","1","2.27%","44","Internal HTML pages with 2xx response"
""
"Content"
"All","44","100.00%","44","Internal HTML pages with 2xx response"
"Exact Duplicates","0","0.00%","44","Internal HTML pages with 2xx response"
"Near Duplicates","0","0.00%","44","Internal HTML pages with 2xx response"
"Semantically Similar","0","0.00%","44","Internal HTML pages with 2xx response"
"Low Relevance Content","0","0.00%","44","Internal HTML pages with 2xx response"
"Low Content Pages","1","2.27%","44","Internal HTML pages with 2xx response"
