"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://almapay.com/","text/html; charset=utf-8","200","OK","Indexable","","Payment in installments. Simple. Guaranteed. | Alma","51","471","Let your customers pay at their own pace: in instalments or later. Improve their payment experience and boost your turnover by 20%.","131","816","","0","Flexible and guaranteed instalment payments","43","An essential performance driver","31","A trusted solution for merchants","32","","","","https://almapay.com/","","","","","","250068","56500","56500","21.644","","1502","242","6.207","67.834","Normal","4.144","0","0","","325","164","0","99.390","55","27","0","12","9","0","","","","","5c685394b3862753900d8bf89da6df0b","0.089","","","","","en-FR","1.1","","","","","","https://almapay.com/","2026-04-27 15:00:30"
"https://almapay.com/_next/static/aoDSF-c24JANOAx20wbA-/_buildManifest.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.045","Thu, 23 Apr 2026 12:45:39 GMT","","","","","1.1","","","","","","https://almapay.com/_next/static/aoDSF-c24JANOAx20wbA-/_buildManifest.js","2026-04-27 15:00:32"
"https://almapay.com/_next/static/chunks/webpack-02cf71120cfd8148.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.086","Fri, 20 Mar 2026 07:36:10 GMT","","","","","1.1","","","","","","https://almapay.com/_next/static/chunks/webpack-02cf71120cfd8148.js","2026-04-27 15:00:33"
"https://almapay.com/_next/static/chunks/pages/_app-34d93f30228f6779.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.187","Fri, 10 Apr 2026 03:01:06 GMT","","","","","1.1","","","","","","https://almapay.com/_next/static/chunks/pages/_app-34d93f30228f6779.js","2026-04-27 15:00:33"
"https://almapay.com/pages/case-studies","text/html; charset=utf-8","200","OK","Indexable","","They chose Alma | Alma","22","215","Let your customers pay at their own pace: in instalments or later. Improve their payment experience and boost your turnover by 20%.","131","816","","0","They chose Alma","15","Join more than 21 000 brands who trust Alma","43","","0","","","","https://almapay.com/pages/case-studies","","","","","","148536","36934","36934","14.149","","253","36","7.028","74.641","Fairly Easy","1.782","1","1","","31","26","0","15.760","54","29","0","10","9","0","","","","","d037cc93282f861fda17ea1b92c4dfbe","0.045","","","","","en-FR","1.1","","","","","","https://almapay.com/pages/case-studies","2026-04-27 15:00:33"
"https://almapay.com/fr-LU","text/html; charset=utf-8","200","OK","Indexable","","La solution de paiement en plusieurs fois simple et garantie","60","533","Offrez le paiement plusieurs en ligne ou en boutique. Améliorez votre satisfaction client et augmentez vos ventes de 20%. Installation simple & rapide.","151","915","","0","Vos clients paient à leur rythme. Votre activité accélère.","58","Vendez mieux. Vendez plus.","26","Simple et immédiat","18","","","","https://almapay.com/fr-LU","","","","","","232121","44258","44258","16.954","","452","87","5.195","83.833","Easy","1.614","1","0","","176","74","0","44.850","50","21","0","10","8","0","","","","","d58bfe9848018c132a3054a1a0873c7b","0.113","","","","","fr-LU","1.1","","","","","","https://almapay.com/fr-LU","2026-04-27 15:00:33"
"https://almapay.com/it-IT","text/html; charset=utf-8","200","OK","Indexable","","Il pagamento a rate. Semplice. Garantito. | Alma","48","428","Lascia che i tuoi clienti paghino al loro ritmo: a rate o successivamente. Migliora la loro esperienza di pagamento e aumenta il tuo fatturato del 20%.","151","905","","0","Il pagamento a rate. Semplice. Garantito.","41","Un acceleratore di performance essenziale","41","Una soluzione di fiducia per i commercianti","43","","","","https://almapay.com/it-IT","","","","","","249495","59219","59219","22.686","","1341","213","6.296","28.217","Very Hard","3.838","1","0","","125","52","0","31.520","54","26","0","11","8","0","","","","","92744e6a536baca4bb7990a5c6a3dc16","0.055","","","","","it-IT","1.1","","","","","","https://almapay.com/it-IT","2026-04-27 15:00:33"
"https://almapay.com/es-ES","text/html; charset=utf-8","200","OK","Indexable","","Pago aplazado. Simple. Garantizado. | Alma","42","390","Deje que sus clientes paguen a su propio ritmo: a plazos o más tarde. Mejore su experiencia de pago y aumente su facturación en un 15%.","135","844","","0","Haz crecer tu negocio con pagos flexibles","41","Un motor clave de rendimiento","29","La herramienta fiable para impulsar tu negocio","46","","","","https://almapay.com/es-ES","","","","","","219649","51654","51654","19.788","","692","115","6.017","43.631","Hard","2.333","1","0","","174","69","0","41.820","48","21","0","10","8","0","","","","","643ac045dc4de835cf8ecd271eb9f40b","0.054","","","","","es-ES","1.1","","","","","","https://almapay.com/es-ES","2026-04-27 15:00:33"
"https://almapay.com/de-DE","text/html; charset=utf-8","200","OK","Indexable","","Die Ratenzahlung. Einfach. Garantiert. | Alma","45","400","Lassen Sie Ihre Kunden in ihrem eigenen Tempo bezahlen: in Raten oder später. Verbessern Sie ihr Zahlungserlebnis und steigern Sie Ihren Umsatz um 20 %.","152","955","","0","Erleichtern Sie hochpreisige Käufe mit sicherer Ratenzahlung","60","Ein entscheidender Erfolgsfaktor","32","Eine vertrauenswürdige Lösung für Händler","41","","","","https://almapay.com/de-DE","","","","","","207387","53508","53508","20.498","","736","143","5.147","49.193","Hard","2.988","1","0","","182","69","0","41.820","43","20","0","11","8","0","","","","","234d90a76d17f070a697e84d4cbb763","0.080","","","","","de-DE","1.1","","","","","","https://almapay.com/de-DE","2026-04-27 15:00:34"
"https://almapay.com/pages/leadership-principles","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","Leadership and communication principles at Alma | Alma","54","509","Let your customers pay at their own pace: in instalments or later. Improve their payment experience and boost your turnover by 20%.","131","816","","0","Our leadership and communication principles","43","The Alma philosophy","19","Why we care about leadership (and why you should, too)","54","noindex","","","https://almapay.com/pages/leadership-principles","","","","","","177514","44989","44989","17.234","","1547","218","7.096","76.970","Fairly Easy","5.620","1","1","","27","24","0","14.550","49","26","0","13","10","0","","","","","e086f5be26d967c469986de28478d361","0.092","","","","","en-FR","1.1","","","","","","https://almapay.com/pages/leadership-principles","2026-04-27 15:00:35"
"https://almapay.com/_next/static/chunks/9643-752bcdd62ca079d3.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.085","Thu, 05 Feb 2026 20:55:05 GMT","","","","","1.1","","","","","","https://almapay.com/_next/static/chunks/9643-752bcdd62ca079d3.js","2026-04-27 15:00:36"
"https://almapay.com/solutions/stores","text/html; charset=utf-8","200","OK","Indexable","","Increase your in-store sales | Alma","35","306","Let your customers pay at their own pace: in instalments or later. Improve their payment experience and boost your turnover by 20%.","131","816","","0","Make more in-store sales.","25","Solutions designed for in-store needs","37","The in-store payment experience","31","","","","https://almapay.com/solutions/stores","","","","","","227590","52005","52005","19.922","","894","144","6.208","59.060","Fairly Hard","2.954","1","1","","46","32","0","19.390","60","28","0","12","11","0","","","","","97c7ede92f00df6c4b4bbdd98443d702","0.069","","","","","en-FR","1.1","","","","","","https://almapay.com/solutions/stores","2026-04-27 15:00:36"
"https://almapay.com/demo","text/html; charset=utf-8","200","OK","Indexable","","Request a demo | Alma","21","207","Let your customers pay at their own pace: in instalments or later. Improve their payment experience and boost your turnover by 20%.","131","816","","0","Request a demo","14","Increase your sales, just like the 21 000 brands already using Alma","67","","0","","","","https://almapay.com/demo","","","","","","133112","34042","34042","13.041","","106","22","4.818","67.862","Normal","1.341","1","0","","99","32","0","19.390","50","26","0","10","9","0","","","","","a59002a772133cfb21180e4fd5912600","0.201","","","","","en-FR","1.1","","","","","","https://almapay.com/demo","2026-04-27 15:00:36"
"https://almapay.com/_next/static/css/bd95d3c4a52c5a22.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.031","Fri, 06 Mar 2026 06:01:08 GMT","","","","","1.1","","","","","","https://almapay.com/_next/static/css/bd95d3c4a52c5a22.css","2026-04-27 15:00:36"
"https://almapay.com/_next/static/chunks/9856-75dd27785422e6d9.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.029","Thu, 12 Feb 2026 16:47:03 GMT","","","","","1.1","","","","","","https://almapay.com/_next/static/chunks/9856-75dd27785422e6d9.js","2026-04-27 15:00:37"
"https://almapay.com/_next/static/chunks/framework-3236775a9ca336a2.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.035","Thu, 25 Sep 2025 05:51:50 GMT","","","","","1.1","","","","","","https://almapay.com/_next/static/chunks/framework-3236775a9ca336a2.js","2026-04-27 15:00:37"
"https://almapay.com/nl-NL","text/html; charset=utf-8","200","OK","Indexable","","Meer verkopen met Alma. Het ultieme betaalgemak.  | Alma","56","530","Laat klanten zorgeloos in meerdere termijnen betalen, terwijl jij direct uitbetaald krijgt.","91","524","","0","Eenvoudig en veilig gespreid betalen","36","Een onmisbare prestatiehefboom","30","Een betrouwbare oplossing voor handelaars","41","","","","https://almapay.com/nl-NL","","","","","","242131","57599","57599","22.065","","1464","249","5.880","53.915","Fairly Hard","4.385","1","0","","166","68","0","41.210","53","24","0","12","9","0","","","","","c1e9a58a4a69c179fcf8bd4ee8286fe4","0.126","","","","","nl-NL","1.1","","","","","","https://almapay.com/nl-NL","2026-04-27 15:00:36"
"https://almapay.com/solutions/online","text/html; charset=utf-8","200","OK","Indexable","","Make more sales online | Alma","29","274","Let your customers pay at their own pace: in instalments or later. Improve their payment experience and boost your turnover by 20%.","131","816","","0","Make more sales online.","23","A fluid experience for e-commerce shops","39","The 100% online payment experience","34","","","","https://almapay.com/solutions/online","","","","","","253354","56984","56984","21.829","","1019","167","6.102","65.232","Normal","2.920","1","1","","71","32","0","19.390","60","26","0","10","9","0","","","","","fdf74564ec7b8f7dc5c322eeb9a343d7","0.175","","","","","en-FR","1.1","","","","","","https://almapay.com/solutions/online","2026-04-27 15:00:36"
"https://almapay.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.044","Tue, 07 Apr 2026 15:12:55 GMT","","","","","1.1","","","","","","https://almapay.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js","2026-04-27 15:00:37"
"https://almapay.com/contact-us","text/html; charset=utf-8","200","OK","Indexable","","Contact us | Alma","17","158","Let your customers pay at their own pace: in instalments or later. Improve their payment experience and boost your turnover by 20%.","131","816","","0","Contact us","10","Increase your sales, just like the 21 000 brands already using Almac","68","","0","","","","https://almapay.com/contact-us","","","","","","130059","32820","32820","12.573","","90","20","4.500","80.068","Easy","1.272","1","0","","58","32","0","19.390","50","26","0","10","9","0","","","","","712c838a9cb3a5e8baa76a8e7ee79826","0.146","","","","","en-FR","1.1","","","","","","https://almapay.com/contact-us","2026-04-27 15:00:37"
