"Issue Name","Issue Type","Issue Priority","URLs","% of Total","Description","How To Fix","Help URL"
"URL: GA Tracking Parameters","Warning","Low","2","0.290","URLs that contain Google Analytics tracking parameters. In addition to creating duplicate pages that must be crawled, using tracking parameters on links internally can overwrite the original session data. utm= parameters strip the original source of traffic and starts a new session with the specified attributes. _ga= and _gl= parameters are used for cross-domain linking and identify a specific user, including this on links prevents a unique user ID from being assigned.","Remove the tracking parameters from links. Event Tracking is recommended in place of utm parameters for tracking additional interactions on a page such as downloads, link clicks, form submissions, and video plays.",""
"Page Titles: Same as H1","Opportunity","Low","64","10.630","Page titles which match the h1 on the page exactly. This is not necessarily an issue, but may point to a potential opportunity to target alternative keywords, synonyms, or related key phrases.","This is not necessarily an issue, but may point to a potential opportunity to target alternative keywords, synonyms, or related key phrases.",""
"Images: Over 100 KB","Opportunity","Medium","461","35.430","Large images over a size threshold. Page speed is extremely important for users and SEO and often large resources such as images are one of the most common issues that slow down web pages. This filter simply acts as a general rule of thumb to help identify images that are fairly large in file size and may take longer to load. These should be considered for optimisation, alongside opportunities identified in the PageSpeed tab which uses the PSI API and Lighthouse to audit speed. This can help identify images that haven't been optimised in size, load offscreen, are unoptimised etc.","Uncompressed images bloat pages with unnecessary bytes, so ensure images are optimised with compression, properly scaled, and using the best image format to reduce file size where possible.",""
"PageSpeed: Legacy JavaScript","Opportunity","Medium","602","100.000","Pages with legacy JavaScript. Polyfills and transforms enable legacy browsers to use new JavaScript features. However, many aren't necessary for modern browsers. Bulk export the pages and JS via 'Reports > PageSpeed > Legacy JavaScript'.","For your bundled JavaScript, adopt a modern script deployment strategy using module/nomodule feature detection to reduce the amount of code shipped to modern browsers, while retaining support for legacy browsers.",""
"Search Console: URL is on Google But Has Issues","Issue","Medium","1","0.160","URLs that have been indexed and can appear in Google Search results, but there are some problems with mobile usability, AMP or Rich results that might mean it doesn't appear in an optimal way.","Review URLs and use the 'Page is Not Mobile Friendly', 'AMP URL Invalid' and 'Rich Result Invalid' filters to segment by issue type. Fix any mobile usability, AMP or Rich results errors as necessary.",""
"Search Console: Orphan URLs","Issue","Medium","69","10.780","URLs that have been discovered in the performance report in Google Search Console, rather than internal links during a crawl. This filter requires 'Crawl New URLs Discovered In Search Console' to be enabled under the 'General' tab in the Google Search Console config ('Config > API Access > Google Search Console') and post 'crawl analysis' to be populated.","Review orphan URLs and link to them internally from the website if they should rank in the search results. Use appropriate directives such as 'noindex' if pages should not be indexed and receiving traffic.",""
"URL: Parameters","Warning","Low","5","0.710","URLs that include parameters such as '?' or '&'. This isn't an issue for Google or other search engines to crawl unless at significant scale, but it's recommended to limit the number of parameters in a URL which can be complicated for users, and can be a sign of low value-add URLs.","Where possible use a static URL structure without parameters for key indexable URLs. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",""
"Links: Follow & Nofollow Internal Inlinks To Page","Warning","Low","1","0.170","Pages that have both rel=""nofollow"" and follow links to them from other pages. Links marked with nofollow link attributes will generally not be followed by search engines. Links without a nofollow link attribute will generally be followed. So inconsistent use of links that are follow and nofollow might be a sign of an issue or mistake, or something that can be ignored. Nofollow and follow inlinks can be seen in the 'Inlinks' tab with the 'All Link Types' filter set to 'Hyperlinks', where the 'Follow' column is 'True' and 'False'. Export in bulk via 'Bulk Export > Links > Follow & Nofollow Internal Inlinks To Page'.","Review the consistency of the use of rel=""nofollow"" on internal links. These might be valid to URLs that ideally wouldn't be crawled, or they could be by mistake. Remove the nofollow link attribute to important URLs you wish to be crawled, indexed and receive PageRank. Add nofollow to any links that are incorrectly missing it.",""
"Security: Missing X-Frame-Options Header","Warning","Low","662","94.570","URLs missing an X-Frame-Options response header with a 'DENY' or 'SAMEORIGIN' value. This instructs the browser not to render a page within a frame, iframe, embed or object. This helps avoid 'clickjacking' attacks, where your content is displayed on another web page that is controlled by an attacker.","To minimise security issues, the X-Frame-Options response header should be supplied with a 'DENY' or 'SAMEORIGIN' value.",""
"Hreflang: Missing Return Links","Issue","High","32","5.320","URLs with missing return links (or 'return tags' in Google Search Console) to them, from their alternate pages. Hreflang is reciprocal, so all alternate versions must confirm the relationship. When page X links to page Y using hreflang to specify it as its alternate page, page Y must have a return link. No return links means the hreflang annotations may be ignored or not interpreted correctly. The missing return links URLs can be seen in the lower window 'URL Details' pane with a 'missing' confirmation status. They can be exported in bulk via the 'Reports > Hreflang > Missing Return Links' export.","Ensure alternate pages include hreflang annotations to URLs which are missing return links. This will confirm they are a 'set' of alternate pages.",""
